"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"237","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:120","CHMI-H:PRUTOK",2005-02-24,2015-08-10,"Kromeríž",49.2997207641602,17.3780555725098,"Average","Field Observation","Water","hour",1
"262","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:186","CHMI-H:PRUTOK",2005-02-14,2015-08-10,"Liberec",50.7677764892578,15.0524997711182,"Average","Field Observation","Water","hour",1
"338","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:134","CHMI-H:PRUTOK",2005-02-24,2015-08-10,"Lupené",49.8672218322754,16.8402786254883,"Average","Field Observation","Water","hour",1
"339","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:135","CHMI-H:PRUTOK",2005-01-23,2015-08-10,"Zlín",49.2308349609375,17.6741676330566,"Average","Field Observation","Water","hour",1
"340","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:148","CHMI-H:PRUTOK",2005-03-08,2015-01-11,"Cheb - VD Skalka",50.0861129760742,12.3866662979126,"Average","Field Observation","Water","hour",1
"341","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:150","CHMI-H:PRUTOK",2005-02-18,2015-08-10,"Bílovice nad Svitavou",48.9502792358398,17.463888168335,"Average","Field Observation","Water","hour",1
"342","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:157","CHMI-H:PRUTOK",2005-01-24,2015-01-09,"VD Nové Mlýny",48.8574981689453,16.7275009155273,"Average","Field Observation","Water","hour",1
"343","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:172","CHMI-H:PRUTOK",2005-01-23,2015-08-10,"Strážnice",48.8991661071777,17.3380546569824,"Average","Field Observation","Water","hour",1
"423","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:448","CHMI-H:PRUTOK",2006-07-28,2015-08-10,"Nová Ves",48.8081970214844,14.9388751983643,"Average","Field Observation","Water","hour",1
"424","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:453","CHMI-H:PRUTOK",2006-07-28,2015-08-10,"Cervená Recice",49.5276718139648,15.1748456954956,"Average","Field Observation","Water","hour",1
"425","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:454","CHMI-H:PRUTOK",2006-07-28,2015-08-10,"Milotice",49.5001945495605,15.2792263031006,"Average","Field Observation","Water","hour",1
"426","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:459","CHMI-H:PRUTOK",2006-07-27,2015-08-10,"Radonice",49.7889175415039,14.9327869415283,"Average","Field Observation","Water","hour",1
