"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"54","Maštov","1049","CHMI-D:1049",50.2636756896973,13.2846374511719,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"55","Valašské Mezirící","105","CHMI-D:105",49.4638900756836,17.9750003814697,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"56","Hrob - Križanov","1050","CHMI-D:1050",50.653938293457,13.7194204330444,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"57","Morkov","1051","CHMI-D:1051",49.5414009094238,18.0583000183105,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"58","Nezvestice","1052","CHMI-D:1052",49.6434631347656,13.5158958435059,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"59","Mrzky","1053","CHMI-D:1053",50.0474128723145,14.8068342208862,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"60","Bojkovice CHMÚ","1054","CHMI-D:1054",49.0386123657227,17.8094444274902,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"61","Staré Sedlo - Darmyšl","1055","CHMI-D:1055",49.6405563354492,12.8786106109619,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"62","Cáslav, Nové Mesto","1056","CHMI-D:1056",49.9016761779785,15.3942813873291,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"63","Drevohostice","1057","CHMI-D:1057",49.4244384765625,17.586109161377,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"64","Kralupy nad Vltavou","1058","CHMI-D:1058",50.2419013977051,14.289999961853,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"65","Praha - Klementinum","1059","CHMI-D:1059",50.0867004394531,14.4163999557495,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"66","Nový Bydžov","106","CHMI-D:106",50.2416648864746,15.5080556869507,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"67","Karlova Studánka","1060","CHMI-D:1060",50.0740547180176,17.3068313598633,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"68","Stríbro CHMÚ","1061","CHMI-D:1061",49.7545013427734,12.9968004226685,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"69","Hlinište","1062","CHMI-D:1062",48.9093971252441,13.7442655563354,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
