id	name	lat	lon	elev	operator
849	Maruška	49.3653	17.8286	664	CHMI
850	Vimperk	49.065833	13.7825	657	CHMI
851	Krásné Údolí	50.0752778	12.9205556	642	CHMI
855	Černovice - Dobešov	49.3569444	14.9619444	580	CHMI
856	Hubenov	49.3931	15.4669	570	CHMI
860	Český Krumlov - Přísečná	48.8328	14.3408	554	CHMI
861	Hlasivo	49.4981	14.7561	547	CHMI
863	Rožmitál pod Třemšínem	49.605	13.8664	538	CHMI
865	Harrachov	50.7722	15.4356	675	CHMI
870	Havlíčkův Brod	49.6119	15.5797	455	CHMI
871	Třebíč	49.2236	15.87	453	CHMI
874	Frenštát pod Radhoštěm	49.540155	18.240568	436	CHMI
875	Holenice	50.5303	15.3022	432	CHMI
876	Třeboň - Lužnice	49.0622	14.7586	428	CHMI
878	Borkovice	49.2092	14.6375	419	CHMI
879	Heřmanov	50.1485	13.5713	408	CHMI
881	Tokáň	50.8767	14.417	402	CHMI
882	Hejnice	50.884583	15.183222	396	CHMI
885	Ropice	49.6975	18.6125	327	CHMI
886	Jablonné v Podještědí	50.7719	14.7747	320	CHMI
888	Lázně Bělohrad	50.4274	15.5886	298	CHMI
889	Aš	50.2208	12.1797	675	CHMI
890	Průhonice	50.0075	14.5594	290	CHMI
894	Troubsko	49.1744	16.5072	277	CHMI
895	Slezská Ostrava	49.844993	18.317562	269	CHMI
899	Ivanovice na Hané	49.3092	17.0894	245	CHMI
900	Osoblaha (ČHMÚ)	50.2709	17.7136	238	CHMI
901	Kašperské Hory	49.1447	13.5625	741	CHMI
902	Brandýs nad Labem (ČHMÚ)	50.1897	14.6606	179	CHMI
903	Kobylí	48.9394	16.8814	175	CHMI
926	Lenora - Houžná	48.9344	13.7694	804	CHMI
928	Horní Bečva (ČHMÚ)	49.4311	18.2983	565	CHMI
930	Moravské Budějovice	49.0611	15.8067	460	CHMI
931	Vavřinec, Žíšov	49.9028	15.0678	415	CHMI
932	Tišnov, Hájek	49.3731	16.4725	409	CHMI
933	Hulice	49.7219	15.0958	378	CHMI
934	Třebařov	49.8161	16.6989	375	CHMI
935	Krnov	50.0694	17.6931	360	CHMI
936	Luhačovice, Kladná-Žilín	49.0842	17.7925	328	CHMI
939	Louny	50.3533	13.8203	230	CHMI
940	Slaměnka	50.150833	16.8325	1100	CHMI
941	Karviná, Staré Město	49.8549	18.5332	219	CHMI
942	Dobřichovice	49.9333	14.2758	205	CHMI
944	Ústí nad Labem, Vaňov	50.6256	14.0589	150	CHMI
994	Strakonice	49.2514	13.9242	427	CHMI
995	Jablunkov, Návsí	49.5875	18.7503	380	CHMI
996	Strojetice	50.1736	13.4769	372	CHMI
998	Bohumín-Záblatí	49.882	18.3692	237	CHMI
999	Pohořelice	48.9844	16.5283	180	CHMI
1000	Lednice	48.7925	16.7989	177	CHMI
1003	Javorový vrch	49.6279	18.6278	930	CHMI
1004	Zbiroh, Švabín	49.8539	13.7517	473	CHMI
1005	Horská Kvilda	49.0525	13.5697	1005	CHMI
1006	Nejdek	50.34	12.72	610	CHMI
1007	KS Rajnochovice	49.41607	17.8083	392	PMO
1015	KS Libouchec	50.7577436	14.0410828	341	POH
1018	KS Brumov	49.085702	18.019935	0	PMO
1019	KS Popov	49.080945	17.968201	0	PMO
1020	KS Bojkovice	49.0499567	17.8454883	320	PMO
1021	KS Ludkovice	49.1220072	17.7288461	285	PMO
1022	VD Luhačovice	49.1215011	17.7728025	275	PMO
1023	KS Přelouč	50.045278	15.574722	205	PLA
1024	KS Kolín	50.0295528	15.2055411	199	PLA
1025	KS Srnojedy	50.040385	15.690834	201	PLA
1026	KS Pardubice	50.0464	15.7809	218	PLA
1027	Předměřice nad Labem	50.2570519	15.8243617	248	PLA
1028	Smiřice	50.3006967	15.8784119	245	PLA
1029	Rejvíz	50.232124	17.311747	767	POD
1030	Biskupská Kupa	50.2567992	17.4289172	890	POD
1031	Anenský vrch	50.0737581	17.3780789	861	POD
1032	Radynia	50.1508819	17.6747703	350	POD
1033	KS Mezina	49.964053	17.489297	498	POD
1034	KS Jelenice	49.8029436	17.8545	525	POD
1035	Kletná	49.6657994	17.9086836	305	POD
1036	KS Fulnek	49.715193	17.909807	285	POD
1038	Valašská Senice	49.240278	18.126944	612	CHMI
1039	Rýmařov	49.931389	17.296111	578	CHMI
1040	Město Albrechtice - Žáry	50.154167	17.560556	498	CHMI
1042	Jihlava - Hruškové Dvory	49.4051419	15.6098703	468	CHMI
1045	Vlašim	49.6919158	14.8921581	415	CHMI
1053	Mrzky	50.0474114	14.8068342	260	CHMI
1054	Bojkovice ČHMÚ	49.0386111	17.8094444	302	CHMI
1056	Čáslav - Nové Město	49.901675	15.394281	251	CHMI
1058	Kralupy nad Vltavou	50.2419	14.29	220	CHMI
1059	Praha - Klementinum	50.0867	14.4164	191	CHMI
1060	Karlova Studánka	50.074053	17.306832	795	CHMI
1061	Stříbro ČHMÚ	49.7545	12.9968	412	CHMI
1062	Hliniště	48.909397	13.744266	800	CHMI
1063	Volary	48.896793	13.884598	748	CHMI
1064	Hošťálková	49.3522	17.8686	358	CHMI
1065	Jizerka - rašeliniště	50.8244	15.3321	858	CHMI
1066	Zlaté Hory	50.252778	17.3926	444	CHMI
1067	Hanušovice	50.0819	16.940556	432	CHMI
1068	Slezská Harta (ČHMÚ)	49.888611	17.575278	516	CHMI
1069	Rokytská slať	49.0158	13.4194	1100	CHMI
1070	Březník	49.9708	13.4819	1133	CHMI
1071	Kvilda - Jezerní slať	49.032156	13.571093	1058	CHMI
1072	Arnoštov	48.89397	13.992812	840	PVL
1073	Dolní Dvořiště	48.6575128	14.45412	617	PVL
1074	Haugschlag	48.9958853	15.0582378	580	PVL
1075	Karlstift	48.5936625	14.7539317	933	PVL
1076	KS Líčov	48.726111	14.574444	585	PVL
1077	Limbach	48.6996978	15.1162253	556	PVL
1083	Spálenec	48.9092019	13.9797047	812	PVL
1084	Šumavské Hoštice	49.0386936	13.8701953	810	PVL
1086	KS Třebanice	49.0107828	14.1264844	520	PVL
1088	Korce	49.4035106	15.3102972	649	PVL
1089	Samšín	49.4861931	15.0668803	512	PVL
1090	KS Ústí	49.4697483	15.4140667	583	PVL
1092	KS Lesná	49.7536378	12.5348533	673	PVL
1093	KS Branka u Opavy	49.894444	17.891944	258	POD
1094	KS Bravantice	49.7576358	18.0822958	236	POD
1095	KS Bartošovice	49.6880239	18.040668	235	POD
1096	Jeseník nad Odrou	49.613515	17.9055164	258	POD
1097	KS Děhylov	49.879444	18.179444	211	POD
1098	Istebná	49.57154	18.8914883	560	POD
1099	KS Branice	50.0515022	17.7816778	292	POD
1100	KS Kozlovice	49.59096	18.257665	346	POD
1101	KS Tichá	49.5712722	18.2217953	354	POD
1102	KS Vlčovice	49.59129	18.192944	337	POD
1103	Velký Javorník	49.5272108	18.1608031	917	POD
1104	KS Věřňovice	49.931111	18.421111	0	POD
1105	Kotař	49.6209831	18.5325447	795	POD
1106	Babí hora	49.7474383	18.5317336	423	POD
1107	Slavíč - chata	49.5541522	18.6182767	919	POD
1108	KS Čeladná	49.548352	18.342083	506	POD
1109	KS Vyšní Lhoty	49.6254464	18.466525	393	POD
1110	KS Kojetín	49.5617033	17.9822292	475	POD
1111	KS Štramberk	49.5924272	18.1203022	450	POD
1112	KS Slatina	49.7864342	17.9774372	406	POD
1113	KS Nový Dvůr	49.7685294	17.9323917	458	POD
1114	KS Jindřichov	49.64196	17.7480053	452	POD
1115	Senomaty	50.09583	13.65556	347	INP
1116	Petrovice	50.06782	13.64194	386	INP
1117	Unhošť	50.08506	14.13167	387	INP
1118	Ruda	50.14	13.87	425	INP
1119	Kladno	50.14	14.11	395	INP
1120	Vysoký Újezd	49.99472	14.20472	422	INP
1121	Kytín	49.8467167	14.21805	459	INP
1122	Střezimíř	49.5318981	14.6104639	595	INP
1123	Benešov	49.79	14.7	353	INP
1124	Milevsko	49.45	14.37	475	INP
1125	Halámky	48.85278	14.91611	460	INP
1126	Nová Pec	48.81333	13.9	760	INP
1127	Bezděkov pod Třemšínem	49.58	13.88	550	INP
1128	Míšov	49.6213889	13.72583	650	INP
1129	Plzeň - Radčice	49.76444	13.32556	325	INP
1130	Ješetice	49.58083	14.61083	520	INP
1131	Praha - Velká Chuchle	50.002079	14.372938	330	INP
1132	Praha - Prosek	50.1191894	14.4917931	295	INP
1133	Praha - Bohdalec	50.06033	14.4687	247	INP
1134	Praha - Strahov	50.07998	14.39299	345	INP
1135	Deštnice	50.23	13.61	346	INP
1136	Pikov	49.48972	14.59333	620	INP
1137	Tábor	49.41139	14.64972	410	INP
1138	Frymburk	48.66144	14.1639831	731	INP
1139	Český Krumlov	48.81806	14.31972	524	INP
1140	Veselí nad Lužnicí	49.18	14.7	435	INP
1141	Čechtice	49.62111	15.04278	496	INP
1142	Počátky	49.25972	15.23861	614	INP
1143	Řevničov	50.1868886	13.8002594	472	INP
1144	Konstantinovy Lázně	49.88611	12.97167	537	INP
1145	Plzeň - Košutka	49.7764	13.3559	410	INP
1146	Slapy	49.81394	14.403339	410	INP
1147	Svatý Jan	49.634947	14.313878	410	INP
1148	Volary meteo	48.90833	13.88667	760	INP
1149	Kubova Huť	48.9833	13.77437	760	INP
1150	České Budějovice meteo	48.9873	14.4422	381	INP
1151	Kojetice	50.239796	14.4976187	192	INP
